"id","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","ALIAS","DESCRIPTION","NAME","parentbusinesssubmoduleid"
58,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_CONSOLIDATION_STATISTIC","View Consolidation Statistic","View Consolidation Statistic",9
59,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ADD_CONSOLIDATION_STATISTIC","Add Consolidation Statistic","Add Consolidation Statistic",9
60,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_CONSOLIDATION_STATISTIC","Update Consolidation Statistic","Update Consolidation Statistic",9
61,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_CONSOLIDATION_STATISTIC","Delete Consolidation Statistic","Delete Consolidation Statistic",9
62,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","VIEW_WEBSERVICE_DETAIL","View Webservice Detail","View Webservice Detail",9
63,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","ADD_WEBSERVICE_DETAIL","Add Webservice Detail","Add Webservice Detail",9
64,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","UPDATE_WEBSERVICE_DETAIL","Update Webservice Detail","Update Webservice Detail",9
65,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","INACTIVE","DELETE_WEBSERVICE_DETAIL","Delete Webservice Detail","Delete Webservice Detail",9
66,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","ADD_DEVICE","Add Device","Add Device",10
67,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_DEVICE","Update Device","Update Device",10
68,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_DEVICE","Delete Device","Delete Device",10
69,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","UPDATE_DEVICE_CONFIGURATION","Update Device Configuration","Update Device Configuration",11
70,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_DEVICE","View Device","View Device",10
71,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","VIEW_DEVICE_CONFIGURATION","View Device Configuration","View Device Configuration",11
72,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CREATE_PATHLIST","Create Pathlist","Create Pathlist",2
73,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","CONFIGURE_PATHLIST","Configure Pathlist","Configure Pathlist",2
74,1,"2016-07-12 10:29:20.0000",3,"2016-07-12 10:29:20.0000","ACTIVE","DELETE_PATHLIST","Delete Pathlist","Delete Pathlist",2
