ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,DESCRIPTION,ENTITY,REGEXKEY,VALUE
147,1,2016-07-11 16:21:09.0146,1,2016-07-11 16:21:09.0146,ACTIVE,SNMP Server Name Regex,SNMPServerConfig,SNMPServerConfig.name,"^[\w-._,/'][\w\s-._,/']{1,200}+$"
148,1,2016-07-11 16:21:09.0147,1,2016-07-11 16:21:09.0147,ACTIVE,SNMP Server Port Regex,SNMPServerConfig,SNMPServerConfig.port,(102[3-9]|10[3-9][0-9]|1[1-9][0-9]{2}|[2-9][0-9]{3}|[1-5][0-9]{4}|6[0-4][0-9]{3}|65[0-4][0-9]{2}|655[0-2][0-9]|6553[0-6])
149,1,2016-07-11 16:21:09.0148,1,2016-07-11 16:21:09.0148,ACTIVE,SNMP Server Offset Regex,SNMPServerConfig,SNMPServerConfig.portOffset,"^-?[1-9][0-9]*$"
150,1,2016-07-11 16:21:09.0149,1,2016-07-11 16:21:09.0149,ACTIVE,DistributionService process record limit regex,DistributionService,DistributionService.processRecordLimit,"^[0-9]{0,6}$"
151,1,2016-07-11 16:21:09.0150,1,2016-07-11 16:21:09.0150,ACTIVE,DistributionService Timestens datasource name regex,DistributionService,DistributionService.timestenDatasourceName,"^[\w\s]{0,500}$"
152,1,2016-07-11 16:21:09.0151,1,2016-07-11 16:21:09.0151,ACTIVE,DistributionService write record limit regex,DistributionService,DistributionService.writeRecordLimit,"^-?[0-9-]{0,6}"
153,1,2016-07-11 16:21:09.0152,1,2016-07-11 16:21:09.0152,ACTIVE,RegEx Pattern Name,RegExPattern,RegExPattern.patternRegExName,"^[\w.-_,/'][\w\s.-_,/']{1,200}$"
154,1,2016-07-11 16:21:09.0153,1,2016-07-11 16:21:09.0153,ACTIVE,Ascii Field Separator,AsciiParserMapping,AsciiParserMapping.fieldSeparator,"^[^\w]{1,3}$"
155,1,2016-07-11 16:21:09.0154,1,2016-07-11 16:21:09.0154,ACTIVE,Ascii Find,AsciiParserMapping,AsciiParserMapping.find,"^.{0,100}$"
156,1,2016-07-11 16:21:09.0155,1,2016-07-11 16:21:09.0155,ACTIVE,Ascii Replace,AsciiParserMapping,AsciiParserMapping.replace,"^.{0,100}$"
157,1,2016-07-11 16:21:09.0156,1,2016-07-11 16:21:09.0156,ACTIVE,Ascii Footer Contains,AsciiParserMapping,AsciiParserMapping.fileFooterContains,"^.{0,500}$"
158,1,2016-07-11 16:21:09.0157,1,2016-07-11 16:21:09.0157,ACTIVE,Ascii Record Header Length,AsciiParserMapping,AsciiParserMapping.recordHeaderLength,"^[0-9]{0,5}$"
159,1,2016-07-11 16:21:09.0158,1,2016-07-11 16:21:09.0158,ACTIVE,Ascii Attribute Source Field Format,ParserAttribute,ParserAttribute.sourceFieldFormat,"^[\w\d]{0,100}"
160,1,2016-07-11 16:21:09.0159,1,2016-07-11 16:21:09.0159,ACTIVE,Composer Name,Composer,Composer.name,"^[\w-._,/'][\w\s-._,/']{1,200}+$"
161,1,2016-07-11 16:21:09.0160,1,2016-07-11 16:21:09.0160,ACTIVE,Composer File Name prefix R,Composer,Composer.readFilenamePrefix,"^[^<>:""/\|?*]{0,50}$"
162,1,2016-07-11 16:21:09.0161,1,2016-07-11 16:21:09.0161,ACTIVE,Composer File Name suffix R,Composer,Composer.readFilenameSuffix,"^[^<>:""/\|?*]{0,50}$"
163,1,2016-07-11 16:21:09.0162,1,2016-07-11 16:21:09.0162,ACTIVE,Composer File Name Contains,Composer,Composer.readFilenameContains,"^[^<>:""/\|?*]{0,50}$"
164,1,2016-07-11 16:21:09.0163,1,2016-07-11 16:21:09.0163,ACTIVE,Composer File Exclude type,Composer,Composer.readFilenameExcludeTypes,"^[^<>:""/\|?*]{0,50}$"
165,1,2016-07-11 16:21:09.0164,1,2016-07-11 16:21:09.0164,ACTIVE,Composer Destination file path,Composer,Composer.destPath,"^[\_$\w:/]{1,500}$"
166,1,2016-07-11 16:21:09.0165,1,2016-07-11 16:21:09.0165,ACTIVE,Composer File Name prefix W,Composer,Composer.writeFilenamePrefix,"^[^<>:""/\|?*]{0,50}$"
167,1,2016-07-11 16:21:09.0166,1,2016-07-11 16:21:09.0166,ACTIVE,Composer Backup path,Composer,Composer.fileBackupPath,"^[\_$\w:/]{0,500}$"
168,1,2016-07-11 16:21:09.0167,1,2016-07-11 16:21:09.0167,ACTIVE,Composer File Extension,Composer,Composer.fileExtension,"^[^<>:/\\|?*]{0,10}$"
169,1,2016-07-11 16:21:09.0168,1,2016-07-11 16:21:09.0168,ACTIVE,CharRenameOperation Query,CharRenameOperation,CharRenameOperation.query,"^[\w\s~@!#\$\^%&*()+=\-\[\]\\\';,\.\/\{\}\\|\"":<>\? ]{0,500}$"
170,1,2016-07-11 16:21:09.0169,1,2016-07-11 16:21:09.0169,ACTIVE,CharRenameOperation Start Index,CharRenameOperation,CharRenameOperation.startIndex,"^-?[0-9-]{0,7}$"
171,1,2016-07-11 16:21:09.0170,1,2016-07-11 16:21:09.0170,ACTIVE,CharRenameOperation End Index,CharRenameOperation,CharRenameOperation.endIndex,"^-?[0-9-]{0,7}$"
172,1,2016-07-11 16:21:09.0171,1,2016-07-11 16:21:09.0171,ACTIVE,CharRenameOperation Default Value,CharRenameOperation,CharRenameOperation.defaultValue,"^[\w]{0,500}$"
