"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","CREATEDDATE","STATUS","ENTITYTYPE","MAXRANGE","MINRANGE","ENTITYREGEXID","ADDITIONALCHECKVAL"
50,1,"2016-07-11 16:21:09.0043",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0043","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",134217728,8000,91,
51,1,"2016-07-11 16:21:09.0044",1,"2016-07-12 10:17:12.0000","2016-07-11 16:21:09.0044","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",3600,0,97,
52,1,"2016-07-11 16:21:09.0045",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0045","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",5000,1,92,
53,1,"2016-07-11 16:21:09.0046",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0046","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",100,0,95,
54,1,"2016-07-11 16:21:09.0047",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0047","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",300,1,54,
55,1,"2016-07-11 16:21:09.0048",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0048","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",300,1,53,
57,1,"2016-07-11 16:21:09.0049",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0049","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",5000000,1000000,55,
58,1,"2016-07-11 16:21:09.0050",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0050","ACTIVE","com.elitecore.sm.services.model.NetflowCollectionService",134217728,1,93,
59,1,"2016-07-11 16:21:09.0051",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0051","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",64000,4000,89,
60,1,"2016-07-11 16:21:09.0052",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0052","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",134217728,8000,90,
61,1,"2016-07-11 16:21:09.0053",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0053","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",134217728,8000,91,
62,1,"2016-07-11 16:21:09.0054",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0054","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",3600,0,97,
63,1,"2016-07-11 16:21:09.0055",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0055","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",5000,1,92,
64,1,"2016-07-11 16:21:09.0056",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0056","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",100,0,95,
65,1,"2016-07-11 16:21:09.0057",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0057","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",300,1,54,
66,1,"2016-07-11 16:21:09.0058",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0058","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",300,1,53,
68,1,"2016-07-11 16:21:09.0059",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0059","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",5000000,1000000,55,
69,1,"2016-07-11 16:21:09.0060",1,"2016-07-12 10:17:13.0000","2016-07-11 16:21:09.0060","ACTIVE","com.elitecore.sm.services.model.SysLogCollectionService",134217728,1,93,
