ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,ENTITYALIAS,ENTITYTYPE,ISDEFAULT,SERVERTYPEID
20,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,LOCAL_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,1
21,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASCII_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,1
22,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASN1_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,1
23,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DEFAULT_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,1
24,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DETAIL_LOCAL_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,1
25,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FIXED_LENGTH_ASCII_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,1
26,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,XML_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,1
27,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASCII_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
28,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASN1_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
29,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DEFAULT_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
30,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DETAIL_LOCAL_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
31,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FIXED_LENGTH_ASCII_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
32,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,NATFLOW_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
33,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,NATFLOW_ASN_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
34,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,XML_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
35,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,REGEX_PARSING_PLUGIN,PLUGIN_TYPE,Y,1
36,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FILE_RENAME_AGENT,AGENT,Y,1
37,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,PACKET_STATISTICS_AGENT,AGENT,Y,1
38,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,RULE_DATA_DICTIONARY,GENERAL,Y,1
39,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,REPROCESSING,GENERAL,Y,1
40,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,WEB_SERVICE_CONFIGURATION,GENERAL,Y,1
41,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,POLICIES_CONFIGURATION,GENERAL,Y,1
42,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DATA_CONSOLIDATION_DETAIL,GENERAL,Y,1
43,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,RELOAD_CACHE,GENERAL,Y,1
44,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,REPROCESSING FILE,GENERAL,Y,1
45,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,MANUALLY COLLECTION,GENERAL,Y,1
46,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,WEBSERVICE_COUNTER,GENERAL,Y,1
47,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,COLLECTION_SERVICE,SERVICE_TYPE,Y,2
48,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,RADIUS_COLLECTION_SERVICE,SERVICE_TYPE,Y,2
49,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,GTPPRIME_COLLECTION_SERVICE,SERVICE_TYPE,Y,2
50,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,NATFLOW_COLLECTION_SERVICE,SERVICE_TYPE,Y,2
51,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,NATFLOWBINARY_COLLECTION_SERVICE,SERVICE_TYPE,Y,2
52,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,SYSLOG_COLLECTION_SERVICE,SERVICE_TYPE,Y,2
53,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,IPLOG_PARSING_SERVICE,SERVICE_TYPE,Y,2
54,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DATA_CONSOLIDATION_SERVICE,SERVICE_TYPE,Y,2
55,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,PARSING_SERVICE,SERVICE_TYPE,Y,2
56,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,PROCESSING_SERVICE,SERVICE_TYPE,Y,2
57,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,DISTRIBUTION_SERVICE,SERVICE_TYPE,Y,2
58,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,CORRELATION_SERVICE,SERVICE_TYPE,Y,2
59,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FTP_COLLECTION_DRIVER,DRIVER_TYPE,Y,2
60,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,SFTP_COLLECTION_DRIVER,DRIVER_TYPE,Y,2
